hmis_lot_sell
11011048
11298468
12121
12916839
14084250
14084252
14084254
14084256
14131234
14131312
14131356
14131528
14131610
14131660
14131814
14131822
14131828
14131832
14131834
14131836
14131838
14131840
14131842
14131844
14131846
14131848
14131850
14131852
14131886
14131888
14131890
14131892
14131894
14131920
14131934
14132012
14132036
14132038
14132124
14132126
14132140
14132154
14132156
14132202
14132220
14132222
14132224
14132238
14132240
14132244
14132248
14132250
14132252
14132254
14132256
14132268
14132296
14132330
14132486
14132656
14132670
14132672
14132674
14132682
14132684
14132686
14132688
14132690
14132692
14132694
14132696
14132698
14132700
14132702
14132704
14132706
14132708
14132710
14132712
14132714
14132716
14132718
14132720
14132722
14132724
14132726
14132728
14132730
14132732
14132734
14132736
14132738
14132740
14132742
14132744
14132746
14132748
14132750
14132752
14132754
14132756
14132758
14132760
14132762
14132764
14132766
14132768
14132770
14132772
14132774
14132776
14132778
14132780
14132782
14132784
14132788
14132790
14132792
14132794
14132796
14132798
14132800
14132802
14132804
14132806
14132808
14132810
14132812
14132814
14132816
14132818
14132820
14132822
14132824
14132826
14132828
14132830
14132832
14132852
14132854
14132856
14132858
14132860
14132862
14132864
14132866
14132868
14132872
14132874
14132876
14132878
14132880
14132882
14132884
14132886
14132888
14132900
14132916
14132918
14132920
14132922
14132924
14132926
14132928
14132930
14132932
14132934
14133066
14133068
14133396
14133400
14133494
14133504
14133506
14133508
14133510
14133512
14133514
14133518
14133520
14133522
14133524
14133526
14133528
14133530
14133532
14133534
14133536
14133538
14133540
14133542
14133544
14133546
14133548
14133550
14133552
14133556
14133558
14133560
14133564
14133566
14133568
14133572
14133576
14133578
14133584
14133588
14133590
14133592
14133594
14133596
14133604
14133668
14133670
14133832
14133834
14133850
14133884
14133886
14133912
14133948
14133950
14133952
14133954
14133956
14133960
14133962
14133964
14133970
14133972
14133974
14133976
14133978
14133980
14133982
14133984
14134012
14134016
14134018
14134020
14134022
14134024
14134026
14134028
14134030
14134032
14134034
14134036
14134038
14134040
14134042
14134044
14134046
14134048
14134050
14134052
14134054
14134056
14134058
14134060
14134062
14134064
14134066
14134068
14134070
14134072
14134074
14134076
14134078
14134080
14134082
14134084
14134090
14134092
14134098
14134106
14134128
14134150
14134172
14134178
14134180
14134182
14134184
14134186
14134188
14134190
14134192
14134194
14134196
14134198
14134200
14134202
14134204
14134206
14134208
14134210
14134212
14134214
14134216
14134220
14134222
14134224
14134226
14134228
14134230
14134232
14134234
14134236
14134238
14134240
14134242
14134244
14134246
14134248
14134250
14134252
14134254
14134256
14134258
14134260
14134262
14134264
14134266
14134268
14134270
14134272
14134274
14134276
14134278
14134280
14134282
14134284
14134286
14134288
14134290
14134292
14134294
14134296
14134298
14134300
14134386
14134412
14134414
14134416
14134418
14134420
14134422
14134424
14134458
14134460
14134462
14134464
14134466
14134468
14134508
14134510
14134512
14134516
14134518
14134520
14134576
14134578
14134582
14134602
14134626
14134648
14134670
14134692
14134714
14134740
14134762
14134764
14134766
14134768
14134770
14134772
14134784
14134802
14134804
14134808
14134810
14134812
14134838
14134840
14134842
14134844
14134848
14134872
14134874
14134876
14134878
14134880
14135110
14135126
14135140
14135162
14135170
14135178
14135184
14135240
14135312
14135354
14135356
14135358
14135360
14135362
14135364
14135366
14135368
14135370
14135372
14135374
14136180
14136182
14136184
14136186
14136192
14136194
14136196
14136198
14136226
14136252
14136330
14136332
14136334
14136336
14136338
14136376
14136378
14136380
14136382
14136384
14136386
14136388
14136390
14136392
14136394
14136396
14136398
14136404
14136406
14136408
14136410
14136412
14136414
14136454
14136582
14136894
14136902
14136904
14136906
14136908
14136910
14136912
14136914
14136918
14136920
14136922
14136976
14136978
14136980
14136982
14136984
14136986
14136988
14136990
14136992
14136994
14136996
14136998
14137000
14137002
14137004
14137006
14137008
14137094
14137200
14137210
14137212
14137214
14137216
14137218
14137306
14137308
14137310
14137312
14137314
14137336
14137344
14137348
14137356
14137360
14137362
14137364
14137366
14137368
14137370
14137372
14137374
14137376
14137378
14137380
14137382
14137384
14137386
14137388
14137414
14137416
14137418
14137420
14137422
14137424
14137426
14137428
14137430
14137432
14137434
14137436
14137438
14137440
14137442
14137444
14137446
14137448
14137450
14137452
14137454
14137456
14137458
14137460
14137462
14137464
14137466
14137468
14137470
14137472
14137474
14137476
14137478
14137480
14137482
14137484
14137486
14137488
14137490
14137492
14137494
14137496
14137498
14137500
14137502
14137504
14137506
14137874
14138562
14138944
14138950
14138956
14138962
14139194
14139196
14139298
14139326
14139328
14140660
14140746
14140748
14140868
14140914
